GameNumber,PlayerName,Country,Score,SecondaryScore
2,#741531,Madagascar,"2,300",0.9583 
2,#187461,United Kingdom,"2,300",0.9583 
2,#956374,Germany,"2,250",0.9583 
2,#891737,France,"2,225",0.9589 
2,#312692,France,"2,225",0.9583 
2,#152902,France,"2,200",0.9586 
2,#255089,France,"2,200",0.9583 
2,#115519,Poland,"2,200",0.9583 
2,#357737,France,"2,175",0.9586 
2,Colin Davidson,United States of America,"2,175",0.9583 
2,#248312,Netherlands,"2,150",0.9583 
2,#886983,Norway,"2,125",0.9614 
2,Jacob De La Cruz,United States of America,"2,125",0.9608 
2,#265314,United States of America,"2,100",0.9643 
2,#692842,Canada,"2,100",0.9588 
2,Benjamin Bratton,United States of America,"2,100",0.9583 
2,#275739,Sweden,"2,075",0.9583 
2,#917335,United States of America,"2,075",0.9583 
2,#882854,Russian Federation,"2,075",0.9583 
2,Samir Asadov,Ukraine,"2,050",0.9583 
2,#500108,France,"2,000",0.9769 
2,#318013,United States of America,"2,000",0.9643 
2,#125152,United States of America,"2,000",0.9644 
2,#821978,Austria,"2,000",0.9613 
2,Ryan Harlow,United Kingdom,"2,000",0.9583 
2,Emilie Williams,Canada,"1,975",0.9583 
2,#432386,United Kingdom,"1,950",0.9680 
2,#813504,United States of America,"1,950",0.9680 
2,#872285,United States of America,"1,925",0.9621 
2,#846687,United States of America,"1,900",0.9615 
2,Jason Levine,United States of America,"1,900",0.9584 
2,#300713,Germany,"1,900",0.9583 
2,#319291,United States of America,"1,900",0.9583 
2,#219438,Poland,"1,900",0.9583 
2,#591819,United States of America,"1,875",0.9614 
2,#511099,Canada,"1,875",0.9608 
2,#947308,United States of America,"1,825",0.9598 
2,#549792,United States of America,"1,825",0.9588 
2,#994800,Netherlands,"1,800",0.9583 
2,#494145,South Africa,"1,775",0.9593 
2,#172292,United States of America,"1,725",0.9590 
2,#890755,Ukraine,"1,700",0.9698 
2,#495952,Germany,"1,700",0.9600 
2,#719637,Brazil,"1,700",0.9590 
2,#666865,Mozambique,"1,700",0.9589 
2,#563632,France,"1,700",0.9583 
2,ARMANDO GODINA CARRASCO,United Kingdom,"1,700",0.9583 
2,#557224,France,"1,700",0.9583 
2,#547292,Canada,"1,700",0.9583 
2,Brian Newell,United States of America,"1,600",0.9597 
2,#927548,Belgium,"1,600",0.9595 
2,#209401,France,"1,600",0.9589 
2,#943200,United States of America,"1,600",0.9585 
2,#594731,Finland,"1,600",0.9583 
2,#923928,United States of America,"1,600",0.9583 
2,#796432,Portugal,"1,600",0.9583 
2,#208764,United States of America,"1,600",0.9583 
2,#312775,United States of America,"1,575",0.9596 
2,Karim Awenat,United Kingdom,"1,550",0.9585 
2,#841277,United States of America,"1,475",0.9583 
2,#483364,Spain,"1,400",0.9597 
2,#455793,Slovenia,"1,400",0.9586 
2,#679775,South Africa,"1,400",0.9583 
2,#660095,United States of America,"1,375",0.9636 
2,#828340,United Kingdom,"1,375",1.0000 
2,#365111,Poland,"1,375",0.9590 
2,Norman Sheppard,United States of America,"1,375",0.9588 
2,#514479,Spain,"1,375",0.9585 
2,#783000,South Africa,"1,375",0.9583 
2,#314772,France,"1,350",0.9613 
2,#246951,United States of America,"1,350",0.9585 
2,#889861,United States of America,"1,350",0.9584 
