GameNumber,PlayerName,Country,Score,SecondaryScore
12,Bruno Romero de Mendonca,SP,633,40
12,Mauro Francisco Furlan,SP,625,111
12,Gilberto Come,SP,612,0
12,Fábio de Carvalho Gatti,SP,602,99
12,Denis Bertazzo Watashi,SC,602,191
12,Luccas Pereira,RJ,595,123
12,Leandro Machado,SP,570,0
12,André da Silva Gonçalves,SP,560,0
12,Fredson Alves Pinho,GO,522,42
12,Rafael Amadeos Rodrigues Ireijo,SP,508,0
12,Bruno Lau Balz,RS,500,157
12,Dionathan Magayver Sperandio,RS,450,0
12,Wanderlei Hüttel,SC,438,0
12,Letícia Croci Pereira,SP,422,0
12,Priscilla Laks,SP,395,0
12,Augusto Thomas,RS,394,0
12,Gabriely Amanda Pereira,MG,392,277
12,Daniela Fonseca de Moraes,SP,382,0
12,Nicholas De Marco Reckman,RJ,380,148
12,Roseane Crispim,PR,373,0
12,Guilherme Bodra Guimarães,SP,372,189
12,Marc Castro,EX,360,0
12,Regina Beretta,PR,357,0
12,Jean Marcos da Silva Soares,SP,336,0
12,Plinio Ferreira Pires,GO,315,11
12,Emanuel Augusto Coutinho da Silva,PR,310,27
12,André Luiz Baldo,SC,304,0
12,Jaq Kennedy,EX,240,1417
12,Luciana Maria da Silva,MG,206,0
12,Emilie Williams,EX,150,0
12,Débora Barbosa Mota,SP,75,0
12,Ana Cristina Mazzali,MT,70,49
12,Laura Carneiro lopes,PR,40,218
12,Anônimo 132,SP,0,217
13,Juliano Neves,SP,178,0
13,Gilberto Come,SP,200,0
13,Denis Bertazzo Watashi,SC,190,0
13,Bo Rydobon,EX,574,0
13,Jonathan Razanamparany,EX,500,113
13,Lorenzo Foti,EX,434,0
13,Washington Augusto Demicheli Junior,MG,338,0
13,Vitor Augusto Dib Martinho,GO,298,5
13,Juan Rodrigo Harbar Penas,PR,296,0
13,Bruno Merola Correa,RJ,288,0
13,Jardiel Euflázio Felismino,PB,288,0
13,Regina Beretta,PR,280,16
13,Wanderlei Hüttel,SC,270,0
13,Lianna Gerrish,EX,270,116
13,Marc Castro,EX,250,0
13,Guilherme Bodra Guimarães,SP,240,0
13,Luis Charca,EX,210,18
13,Gabriel Sotero,RJ,200,68
13,Lucas Dourado,SP,190,99
13,Jean Wolleh,EX,146,152
13,Renan Augusto Fleith Lemuch,PR,136,88
13,Bruno Romero de Mendonca,SP,130,651
13,Rafael Volner,SP,130,79
13,Anônimo 132,SP,130,0
13,Dionathan Magayver Sperandio,RS,126,0
13,Bruno Lau Balz,RS,126,365
13,André Luiz Baldo,SC,122,0
13,Augusto Thomas,RS,120,0
13,Mauro Francisco Furlan,SP,108,0
13,Juan José Cifuentes,EX,100,0
13,André da Silva Gonçalves,SP,90,0
13,Emanuel Augusto Coutinho da Silva,PR,54,27
13,Cris Melo,MG,48,0
13,Fredson Alves Pinho,GO,24,1345
13,Jean Marcos da Silva Soares,SP,24,0
13,Diego Cezar Ruvieri,SP,0,0
13,Armando Godina Carrasco,EX,0,0
13,Luciana Maria da Silva,MG,0,170
13,Priscilla Laks,SP,0,0
13,Plinio Ferreira Pires,GO,0,18
13,Thomas Marcelo e Silva,GO,0,0
14,Bo Rydobon,EX,1134,0
14,Bruno Merola Correa,RJ,811,3
14,Juan José Cifuentes,EX,803,17
14,Fábio de Carvalho Gatti,SP,780,0
14,Lorenzo Foti,EX,685,0
14,Jean Wolleh,EX,668,0
14,Washington Augusto Demicheli Junior,MG,648,0
14,Leandro Machado,SP,574,0
14,Thomas Marcelo e Silva,GO,573,13
14,Rafael Volner,SP,561,0
14,Diego Cezar Ruvieri,SP,561,334
14,Augusto Thomas,RS,540,0
14,Juan Rodrigo Harbar Penas,PR,522,0
14,André da Silva Gonçalves,SP,500,21
14,Juliano Neves,SP,498,61
14,Guilherme Bodra Guimarães,SP,484,16
14,Felipe Rocha Carvalho,SP,465,79
14,Gilberto Come,SP,452,0
14,Eduardo Schneider Nering,PR,450,0
14,Jonathan Razanamparany,EX,412,48
14,Luis Charca,EX,410,30
14,Marc Castro,EX,401,0
14,Renan Augusto Fleith Lemuch,PR,390,0
14,Gabriel Sotero,RJ,390,183
14,Bruno Romero de Mendonca,SP,362,165
14,André Luiz Baldo,SC,352,0
14,Denis Bertazzo Watashi,SC,340,0
14,Ariel Assayag,SP,340,14
14,Dionathan Magayver Sperandio,RS,340,0
14,Mauro Francisco Furlan,SP,334,41
14,Armando Godina Carrasco,EX,333,5
14,Jardiel Euflázio Felismino,PB,317,0
14,Bruno Lau Balz,RS,310,74
14,Regina Beretta,PR,240,0
14,Jean Marcos da Silva Soares,SP,240,89
14,Rafael Amadeos Rodrigues Ireijo,SP,240,24
14,Plinio Ferreira Pires,GO,190,14
14,Wanderlei Hüttel,SC,150,0
14,Luciana Maria da Silva,MG,120,0
14,Emanuel Augusto Coutinho da Silva,PR,120,351
14,Anônimo 132,SP,70,1319
14,Alexandre César Alvarenga Ribeiro,MG,150,0
14,Fredson Alves Pinho,GO,401,0
14,Nicholas De Marco Reckman,RJ,369,0
14,Vinicius da Silva Cantergiani,RJ,48,0
